Pair,Distance,CADF p-value,ADF p-value,Spread SD,Pearson r,Num zero-crossings,Hurst Exponent,Half-life of mean reversion,% days within historical 2-SD band
BRO-SANM,0.967697009889778,0.49540676286170554,0.8236067628943635,0.042022140081691,0.9208873454059111,4,0.67227012038651,50.69121865023907,37.6
BRO-INDB,0.8588567344719781,0.5701966693539671,0.9036313951351962,0.0378569568713463,0.759509182229059,1,0.667802613131922,110.92238565364245,45.6
BRO-SKYW,0.9807581875264524,0.2402882553785451,0.8070122308045273,0.0497875049137533,0.9222150927200474,4,0.6539325388291604,47.72855440245604,58.4
BRO-ODP,1.4904317608758806,0.9200184983080097,0.9499696677250506,0.0410364099804116,-0.19763766065043223,4,0.7171361843351409,537.5932762358746,33.6
BRO-XPER,1.0634577624074195,0.21590881172705406,0.8784513794191677,0.0383065034095015,0.8678434996614054,4,0.6906500899187108,79.83441446866989,36.0
BRO-ESE,1.2397712159625147,0.006276507994173396,0.867207632652696,0.0515148356253264,0.9720712705430203,2,0.6792268894428302,71.36975368004649,39.2
BRO-IDCC,0.98349564496012,0.17428960938625426,0.8612581298418645,0.0455628925993904,0.9336056494943014,2,0.6423093505126798,62.51002421411919,48.0
BRO-MGLN,0.9589331171162493,0.7650151689452334,0.8840474084059108,0.0457313276511043,0.8243666362887042,2,0.6546337059858616,52.83080488681294,60.0
BRO-CAKE,0.9943907381355612,0.9828505288996584,0.94226310013103,0.0383868067523426,0.6821146108972037,6,0.693294569938158,275.9045294390665,42.4
BRO-FFBC,0.8203670720295706,0.3937586006475944,0.8305559945563301,0.0421740511336855,0.9313060290997225,3,0.6271121282817022,51.94722101718722,61.6
BRO-ARI,0.9537416955399598,0.35048734594737196,0.8312686743775861,0.0449455924074634,0.5790894528719716,3,0.695221715490127,61.20594773187889,52.800000000000004
BRO-MANT,0.7018006947672848,0.6579344453997228,0.705229598647015,0.0430886638458359,0.8805372958028618,2,0.5647033738630842,22.587409116496584,88.0
BRO-WRE,0.7403446252481252,0.24582873700121982,0.722753872093881,0.0455291868710677,0.9326319996466066,1,0.6290614020341518,32.97447673656706,92.0
BRO-AAWW,1.2724485078954832,0.045073611345269174,0.8612769478633232,0.0483949741978743,0.854717581558187,8,0.6511849553031978,66.54048661205054,35.199999999999996
BRO-KAR,0.8832212520151959,0.07371635299853542,0.816361951495015,0.0399448509220681,0.9237877238035542,5,0.6561883702684477,51.64055833910424,45.6
BRO-CORE,0.8521640200896552,0.5641465865960605,0.8400309869003374,0.0404915930896898,0.6953075693614025,1,0.6851822014269593,60.693624090954835,56.8
BRO-TWO,1.300894893727913,0.5186889573645383,0.8522192170836662,0.0514732479538613,0.7590058682030202,2,0.6738840115009921,65.20489113419437,37.6
BRO-TDS,0.9455754438327015,0.2715586479732256,0.7867248501936932,0.0441175007132255,0.9271618338576979,4,0.6196388597909652,37.62337872378806,56.00000000000001
BRO-PRGS,1.1901149016245824,0.4917029081180328,0.8174396586143009,0.0402108214860442,0.4024895014483414,4,0.6489275596218855,55.281947189555574,33.6
BRO-KALU,0.7892715633433761,0.5376830652699072,0.8507920954038001,0.0409188468107895,0.8667181412011369,3,0.6304571150113191,45.08286003506953,64.8
BRO-VGR,1.0126593211771935,0.9257867205834004,0.8653937763717618,0.0425778758326114,-0.34486825972273594,1,0.7047540766209818,75.40387858944788,40.0
BRO-BGS,0.9522009055338069,0.8518065731053497,0.7821382395694442,0.0502039741793675,0.5098380017839567,6,0.6573605990665845,44.36911594143827,67.2
BRO-HCSG,0.8227233579058324,0.4899731817118724,0.8289951853705582,0.0436263806374118,0.879658937508107,1,0.6458062147377217,55.004061973318734,72.8
BRO-GVA,1.1008645340082153,0.39866060553518806,0.8628030297609617,0.0511100830289106,0.8063349688006611,4,0.6834333010228065,69.58036593216428,49.6
BRO-AKR,0.8710824914517133,0.14510764629325068,0.8729039192949005,0.0431173104089108,0.790111296839846,1,0.6731382436796305,77.94583632429728,64.8
BRO-CNK,1.0670400552712251,0.17839806986128398,0.8060321824194036,0.037380857809764,0.8721337930619537,2,0.6445579626775992,45.42005886371513,34.4
BRO-AAT,0.9506832117999049,0.38320568156748547,0.8189988687365355,0.0388811533824152,0.7961482227631614,1,0.6610202116812111,53.236821065982284,37.6
BRO-ARGO,0.9159930739605343,0.717167862097425,0.8753429670502862,0.0373963222194581,0.48583567097262625,1,0.6894370162464867,82.6022665161942,36.8
BRO-BGCP,0.9463301758151321,0.6131499407016857,0.8866351716234242,0.0374201980021993,0.6367843725944584,1,0.6749829159949352,90.10289552953516,37.6
BRO-PRK,0.813778124683976,0.04609503649304323,0.8870437253481339,0.0374248630184225,0.8831397222157816,1,0.6725387524246961,91.0453200078435,48.8
BRO-CENTA,0.9662652769598384,0.4374324840324717,0.833588646161874,0.0495717946221502,0.8768030979420824,5,0.6563801951243106,56.07335175237016,64.8
BRO-HMN,1.0182307833460527,0.20491457237255373,0.843121682993091,0.0383955831635863,0.8291399309952218,3,0.6623535697090459,63.60963988676178,37.6
BRO-BLKB,0.7929926818545884,0.37392223935444296,0.8272615926273903,0.034554070561365,0.6231312062414683,1,0.6888156599310045,60.228836659249126,44.0
BRO-CBRL,0.7482915269241633,0.3101261914989018,0.8273312389515584,0.0336932630981873,0.8955287358841776,3,0.6258470919870724,49.659907208084476,46.400000000000006
BRO-OSIS,1.6812187354328854,0.7430812002843121,0.6982952311309629,0.043420557315774,-0.6092613377083334,1,0.7679443000160526,47.687731117154,28.000000000000004
BRO-MCY,0.9155201058802823,0.8097207016158898,0.8916945880309536,0.0370951984102141,0.8464651770345719,4,0.6446908430934721,81.98295219445671,44.0
BRO-CWT,0.6388940877261876,0.5616854626993611,0.6240233076324531,0.0447364717868671,0.8389507931620555,4,0.592952836117162,24.04080977000862,97.6
BRO-NWN,0.7093223217182619,0.8245749092276944,0.730109900729687,0.0468974346402946,0.6435264797273887,1,0.6332088371329017,37.05285565321305,94.39999999999999
BRO-HNI,1.128469366737217,0.6316789520347429,0.7537622997702542,0.0357667846404547,0.9111730239928929,2,0.6148479811564108,34.89516780857377,29.599999999999998
BRO-CFFN,0.5539071386364931,0.07571551170801678,0.772580721274715,0.0398880182972347,0.9744589129546402,1,0.6271795654743998,40.78813875238651,95.19999999999999
BRO-CALM,1.0070736849258901,0.9299965489036857,0.8940486492395592,0.0413859545938689,-0.14909004856125088,3,0.6841464587679814,93.55073325130779,42.4
BRO-PRA,0.7690986877573714,0.7502191031338301,0.8314582190381896,0.0409057353913707,0.6518518518300412,1,0.6667262407655414,60.70243525171582,79.2
BRO-LTC,0.7081138776333189,0.5984772194913426,0.7927888268981326,0.0404322326034282,0.7699412574873946,1,0.6104610121463936,46.59725335026983,83.2
BRO-GFF,0.9891640458906419,0.7041980917287247,0.7998985183659412,0.0418536689932757,0.4538508026118754,3,0.693194813688429,52.369705537164435,38.4
BRO-GIII,1.170638315908483,0.9244909278840266,0.8824143287501872,0.0403425259585038,-0.2350059450330959,8,0.6935896935590402,87.2495598168417,39.2
BRO-BHLB,1.0049770750081908,0.8839943301138353,0.8550782553064445,0.0382812223220952,0.30905503238928395,5,0.6732365790626349,79.28521607564228,40.8
