Pair,Distance,CADF p-value,ADF p-value,Spread SD,Pearson r,Num zero-crossings,Hurst Exponent,Half-life of mean reversion,% days within historical 2-SD band,Hedge ratio
PNR-AVNT,1.2535653833408713,0.009665560654599307,0.001993222113754879,0.04574325050895,0.8151778201378753,54,0.3597080950917597,17.97352259010541,96.94148936170212,0.4102183450303163
PNR-QRTEA,1.5939624019560867,0.00482623860470981,0.0009109488352770594,0.0581645141318476,0.6764468429259163,59,0.4021096058971133,18.02100898921003,96.27659574468085,0.316852683518265
PNR-FOE,1.2108225206417371,0.008492997542234836,0.0017234842438872745,0.0441835412972092,0.8288564029213721,60,0.36291891592071407,16.5275015165986,96.4095744680851,0.3101615346489533
ATO-EGP,0.7357756704520474,6.626590036359976e-05,8.479989726913174e-06,0.0268488355367473,0.9752869146521103,74,0.36762212093133395,11.253673051739701,94.9468085106383,0.6899552590354014
ATO-STWD,1.3632268156211282,0.00392128537958841,0.0007202647073905282,0.0497448530058196,0.9123746909213027,53,0.44151193835991237,19.14540523338096,96.80851063829788,1.3881821906371554
ATO-BXMT,1.0746955323423646,0.0005828039570377841,8.793517537809795e-05,0.0392161969452043,0.9464963256363307,70,0.445822851746307,16.48752487228119,96.4095744680851,0.9068756203393438
KIM-BRX,0.8000037182004442,0.0044507010127358354,0.0008113053245967516,0.0291925502858142,0.986956568840953,56,0.399160664097303,11.83987275347328,94.0159574468085,1.1912720373793415
APO-MDC,3.185288833171231,0.006809107092974958,0.0013408827728029224,0.116232840325244,0.905513121345571,75,0.3619037116340437,17.27351744126353,92.02127659574468,1.7958878070865507
APO-KALU,3.9885201163399913,0.006497380821446271,0.001268912263940958,0.145543166129465,0.8471723395144942,73,0.4906024987206436,24.185068215159873,96.1436170212766,1.7305160074217547
JLL-ST,2.164688143409331,0.009604496521564978,0.001981907202108052,0.0789905922209096,0.9027871735225966,51,0.3544109813074869,19.155089349501328,98.00531914893617,1.3527251816344206
JLL-KALU,2.2632445213191286,0.0023860746092135366,0.00041231273202907003,0.0825869655285129,0.893195226429395,86,0.4227805686950346,14.763273924660227,93.88297872340425,1.2232961146032872
WTRG-APO,1.5161124918068198,0.008723070908709196,0.0017678737798350942,0.0553237305641277,0.8186085855797333,50,0.465501143011553,22.163815208186676,94.41489361702128,0.2878542481195025
WTRG-ITT,1.437342167982419,0.004435384720034185,0.0008257621506512996,0.0524493606243901,0.8387536477910759,48,0.4361093123916485,19.176517382417096,95.2127659574468,0.3967019279508867
